id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
21065,Elettrico-Elettronico,,,"PINZA PER PUNTALINI 0,5 - 4 MM TIPO CEMBRE MANICO ISOLATO GRIGIO",C2,,5,0,,43.68000,
21064,Elettrico-Elettronico,,,"PINZA PER PUNTALINI 0,25 - 10 MM TIPO BM MANICO ISOLATO GIALLO VERDE",C2,,1,0,,39.12000,
21063,Elettrico-Elettronico,,,"PINZA PER CRIMPARE  4 - 6 - 8 PLUG WEIDMULLER REDLINE 864",C2,,1,0,,89.76000,
21062,Elettrico-Elettronico,,,"PINZA PER CRIMPARE  4 - 6 - 8 PLUG MERLONI  ART.68696",C2,,8,0,,82.44000,
21061,Elettrico-Elettronico,,,"PINZA PER CAPOCORDA 1,5-6 MM TIPO LEGGERO",C2,,3,0,,79.80000,
21060,Elettrico-Elettronico,,,"PINZA PER CAPOCORDA 0,25-6 MM TIPO CEMBRE MANICO ISOLATO ARANCIO",C2,,7,0,,79.80000,
21059,Elettrico-Elettronico,,,"PINZA PER CAPOCORDA 0,22-10 MM TIPO NERO",C2,,3,0,,29.16000,
21058,Elettrico-Elettronico,,,"PINZA CON MANICO ISOLATO UNIVERSALE 160/180MM ",B3,,41,0,,9.84000,
21057,Elettrico-Elettronico,,,"PINZA CON MANICO ISOLATO A PUNTA TONDA",B3,,24,0,,11.52000,
21056,Elettrico-Elettronico,,,"PINZA CON MANICO ISOLATO A BECCO PIATTO PIEGATA 45° 160-180 MM",C3,,8,0,,11.52000,
21055,Elettrico-Elettronico,,,"PINZA CON MANICO ISOLATO A BECCO PIATTO PIEGATA 45° 160 MM KARAT",C3,,25,0,,11.52000,
21054,Elettrico-Elettronico,,,"PINZA CON MANICO ISOLATO A BECCO PIATTO IN TASSELLO LEGNO",C3,,18,0,,10.44000,
21053,Elettrico-Elettronico,,,"PINZA AMPEROMETRICA TIPO MULTIMETRIX  CM610",C4,,1,0,,103.73000,
21052,Elettrico-Elettronico,,,"PINZA AMPEROMETRICA TIPO MULTIMETRIX  CM600",C4,,1,0,,103.73000,
21051,Elettrico-Elettronico,,,"PINZA AMPEROMETRICA TIPO ICE AMPERCLAMP",C4,,3,0,,118.13000,
21050,Elettrico-Elettronico,,,"PINZA AMPEROMETRICA TIPO ASIAITALIA MCP3",C4,,1,0,,118.13000,
21049,Elettrico-Elettronico,,,"PILA PORTATILE A BATTERIE PER ILLUMINAZIONE TIPO PHILIPS  ",B2,,1,0,,17.20000,
21048,Elettrico-Elettronico,,,"PIETRA D' INDIA PER SMUSSARE",B2,,1,0,,5.33000,
21047,Elettrico-Elettronico,,,"PIEGATUBI PER TUBI METALLICI",B2,,3,0,,11.86000,
21046,Elettrico-Elettronico,,,"PIASTRINA DI GIUNZIONE E VITERIA PER COLLEGAMENTO CANALINA METALLICA TIPO ZAMET",L7,,37,0,,5.04000,
21045,Elettrico-Elettronico,,,"PIASTRA VETRORESINA PRESENSIBILIZZATA POSITIVAMENTE PER FOTOINCISIONE PISTE C.S.",U6,,5,0,,4.20000,
21044,Elettrico-Elettronico,,,"PIASTRA VETRORESINA 1 LATO RAME PER REALIZZO PISTE C.S.",U6,,8,0,,2.82000,
21043,Elettrico-Elettronico,,,"PIASTRA TERMINALE PER MORSETTO SINGOLO WEID WDU2,5 TIPO WAP2,5/4/6/10",M1,,116,0,,0.53000,
21042,Elettrico-Elettronico,,,"PIASTRA TERMINALE PER MORSETTO SINGOLO GRANDE WEID WTW TIPO WAP16/35-WTW2,5/4/6/10",M1,,56,0,,0.53000,
21041,Elettrico-Elettronico,,,"PIASTRA TERMINALE PER MORSETTO SINGOLO CONTACLIP RK2,5-4 TIPO AP2,5-10",N1,,21,0,,0.53000,
21040,Elettrico-Elettronico,,,"PIASTRA TERMINALE PER MORSETTO DOPPIO WEID WDK TIPO WAP/WDK2,5",M1,,121,0,,0.53000,
21039,Elettrico-Elettronico,,,"PIASTRA TERMINALE PER MORSETTO DOPPIO CONTACLIP RKD4 TIPO AP4",N1,,28,0,,0.53000,
21037,Elettrico-Elettronico,,,"PIASTRA MILLEFORI 1 LATO RAME 100 X 220 MM PER C.S.",U2,,13,0,,4.13000,
21036,Elettrico-Elettronico,,,"PIASTRA MILLEFORI 1 LATO RAME 100 X 160 MM PER C.S.",U2,,33,0,,3.54000,
21035,Elettrico-Elettronico,,,"PIANO DI RISCONTRO PER TRACCIATURE AL TRUSCHINO",A1,,1,0,,55.68000,
21034,Elettrico-Elettronico,,,"PENNELLO IN SETOLA TONDO Ø 10 MM",A1,,2,0,,1.68000,
21033,Elettrico-Elettronico,,,"PENNELL0 IN SETOLA 40 MM",A1,,1,0,,2.88000,
21032,Elettrico-Elettronico,,,"PENNELL0 IN SETOLA 30 MM",A1,,1,0,,1.92000,
21031,Elettrico-Elettronico,,,"PENNARELLO PUNTA FINE PER SCRITTURA SIGLA MORSETTIERA",N1,,1,0,,0.72000,
21029,Elettrico-Elettronico,,,"PARABOLA PER IMPIANTO SATELLITARE Ø 80 CM BIANCA CON STAFFE TIPO IARE 9015/B",E6,,1,0,,29.47000,
21028,Elettrico-Elettronico,,,"PARABOLA PER IMPIANTO SATELLITARE Ø 100 CM ALLUMINIO COLORE TIPO IARE 9008/G",E6,,1,0,,32.56000,
21027,Elettrico-Elettronico,,,"PANNELLO OPERATORE 2X40  PER VISIONE",P6,,1,0,,362.22000,
21026,Elettrico-Elettronico,,,"PANNELLO OPERATORE 2X40",P6,,0,0,,434.54000,
21025,Elettrico-Elettronico,,,"PALETTA PLASTICA PER RACCOLTA SPAZZATURA",C1,,2,0,,3.01000,
21024,Elettrico-Elettronico,,,"OSCILLOSCOPIO TIPO TEKTRONIX 2225",C6,,1,0,,559.56000,
21023,Elettrico-Elettronico,,,"OSCILLOSCOPIO TIPO IWATSU SS5702",C6,,3,0,,559.56000,
21022,Elettrico-Elettronico,,,"OSCILLOSCOPIO TIPO INSTEK GOS-620FG",A6/B6,,12,0,,559.56000,
21021,Elettrico-Elettronico,,,"NASTRATRICE PER IMBALLO SCATOLONI",B3,,1,0,,14.76000,
21020,Elettrico-Elettronico,,,"MULTIMETRO DIGITALE DA LABORATORIO TIPO TOPWARD 1302",B5,,2,0,,268.08000,
21019,Elettrico-Elettronico,,,"MOTORE 380 VAC SMONTATO PER DIDATTICA ",O6,,1,0,,147.00000,
21018,Elettrico-Elettronico,,,"MOTORE 380 VAC PER AVVIAMENTO DIRETTO CON FLANGIA TIPO ZSE 3AP63-4",O6,,1,0,,159.84000,
21017,Elettrico-Elettronico,,,"MOTORE 380 VAC 2/4 POLI PER DOPPIA VELOCITA' CON FLANGIA TIPO CARPANELLI M63B2/4",O6,,0,0,,175.80000,
